variable,coef,std_err,z,p_value
Group Var,,,6.260626661574539,3.8343349013780015e-10
Group x gest_week Cov,,,-5.538774843877726,3.045949391777661e-08
Intercept,0.0106566922235104,0.023922785436542294,0.4454620157748101,0.6559859039382678
bmi_s0,0.10225723505196518,0.04757713491958637,2.1492936727862593,0.03161112776297101
bmi_s1,0.012715929676149453,0.01929963470896569,0.6588689303141182,0.5099799388201831
bmi_s2,0.015013808773386303,0.031428909374043024,0.4777069606426156,0.6328587894053381
gest_week Var,,,6.204198332838419,5.497641840443408e-10
gw_s0,0.015307894187050275,0.004602290967049512,3.32614654237388,0.0008805562075421997
gw_s1,0.017306240756462272,0.0040524680369379935,4.2705434314884085,1.949972411955808e-05
gw_s2,0.043438317734243115,0.008186657941963812,5.305989091297388,1.1206365961590191e-07
gw_s3,0.12384062828685316,0.01041092957938494,11.895251748899971,1.2527469037012107e-32
