bmi,error_type,error_pct,effective_threshold_pct,optimal_nipt_week,min_risk,noise_multiplier,effective_noise_std
28.9,threshold_shift,0.0,4.0,11.72,0.0208,,
28.9,threshold_shift,0.5,4.5,12.22,0.0282,,
28.9,threshold_shift,1.0,5.0,12.77,0.04,,
28.9,threshold_shift,2.0,6.0,13.91,0.0952,,
28.9,noise_inflation,,,11.72,0.0208,1.0,0.010084
28.9,noise_inflation,,,12.52,0.04,1.5,0.015126
28.9,noise_inflation,,,12.95,0.0663,2.0,0.020168
28.9,noise_inflation,,,13.18,0.12,3.0,0.030252
32.3,threshold_shift,0.0,4.0,11.79,0.0217,,
32.3,threshold_shift,0.5,4.5,12.3,0.0295,,
32.3,threshold_shift,1.0,5.0,12.85,0.0423,,
32.3,threshold_shift,2.0,6.0,13.99,0.1019,,
32.3,noise_inflation,,,11.79,0.0217,1.0,0.010084
32.3,noise_inflation,,,12.58,0.0418,1.5,0.015126
32.3,noise_inflation,,,12.99,0.0689,2.0,0.020168
32.3,noise_inflation,,,13.21,0.1233,3.0,0.030252
38.4,threshold_shift,0.0,4.0,13.49,0.0676,,
38.4,threshold_shift,0.5,4.5,14.06,0.1078,,
38.4,threshold_shift,1.0,5.0,14.58,0.1731,,
38.4,threshold_shift,2.0,6.0,21.24,0.3566,,
38.4,noise_inflation,,,13.49,0.0676,1.0,0.010084
38.4,noise_inflation,,,13.8,0.1182,1.5,0.015126
38.4,noise_inflation,,,13.81,0.1597,2.0,0.020168
38.4,noise_inflation,,,13.61,0.2125,3.0,0.030252
