variable,coef,std_err,z,p_value
Group Var,,,6.280034856699433,3.3849712976227476e-10
Group x gest_week Cov,,,-5.546535548772796,2.9138540656028092e-08
Intercept,0.04401302983018121,0.05791898696454628,0.7599067617864713,0.4473103195081771
age,-0.0021923684397937124,0.004685396714187455,-0.4679152211711734,0.639845218040498
bmi_age,5.3252747269583544e-05,0.000146145730240655,0.3643811364306942,0.7155734196352704
bmi_s0,0.08453929835790773,0.06547712059136097,1.291127306674231,0.19665953669723113
bmi_s1,-0.013377284079068345,0.07394807303196727,-0.18090105029897713,0.8564452444351034
bmi_s2,-0.029765574165402164,0.12507967500894906,-0.2379729093737454,0.8119021058649656
gest_week Var,,,6.178736525544137,6.461662717733824e-10
gw_s0,0.015423732986849837,0.0046079821317956075,3.347177255837062,0.0008163899005107948
gw_s1,0.017366810912588775,0.0040556046131849455,4.282175549393677,1.8507487630262305e-05
gw_s2,0.043499223508282975,0.0082022901461085,5.303302216018386,1.137264107256131e-07
gw_s3,0.12396006261404388,0.010423691891745376,11.892145690934042,1.300226869628803e-32
